SMILES,code_name
C#CC(=O)C(C)C,1
C#CC(=O)C(OCC)OCC,2
C#CC(=O)CC,3
C#CC(=O)CCC,4
C#CC(=O)CCc1ccccc1,5
C#CC(=O)COCc1ccccc1,6
C#CC(=O)Cc1ccccc1,7
C#CC(=O)N(C)C,8
C#CC(=O)N1CCCC1,9
C#CC(=O)N1CCOCC1,10
C#CC(=O)NC,11
C#CC(=O)NC(C)C,12
C#CC(=O)NC1CCCC1,13
C#CC(=O)NC1CCCCC1,14
C#CC(=O)NCC,15
C#CC(=O)NCc1ccccc1,16
C#CC(=O)NCc1nc(C)cc(C)n1,17
C#CC(=O)Nc1cc(OC)ccc1OC,18
C#CC(=O)Nc1ccc(OC)c(N)c1,19
C#CC(=O)Nc1ccccc1,20
C#CC(=O)Nc1ccccc1Cl,21
C#CC(=O)OC,22
C#CC(=O)OC(C)(C)C,23
C#CC(=O)OC(C)C,24
C#CC(=O)OCC,25
C#CC(=O)OCCCC,26
C#CC(=O)OCc1ccccc1,27
C#CC(=O)c1cc(C)ccc1Br,28
C#CC(=O)c1ccc(Br)c(F)c1,29
C#CC(=O)c1ccc(Br)cc1F,30
C#CC(=O)c1ccc(C(F)(F)F)cc1,31
C#CC(=O)c1ccc(C)cc1,32
C#CC(=O)c1ccc(Cl)cc1,33
C#CC(=O)c1ccc(OC)cc1,34
C#CC(=O)c1cccc(C(F)(F)F)c1,35
C#CC(=O)c1cccc(Cl)c1,36
C#CC(=O)c1ccccc1,37
C#CC(=O)c1ccccc1Cl,38
C#CC(C)(C)Br,39
C#CC(C)(C)C,40
C#CC(C)(C)C(=O)OC,41
C#CC(C)(C)C(=O)OC(C)(C)C,42
C#CC(C)(C)C(=O)OCC,43
C#CC(C)(C)CC,44
C#CC(C)(C)CO,45
C#CC(C)(C)Cc1ccccc1,46
C#CC(C)(C)Cl,47
C#CC(C)(C)N1CCOCC1,48
C#CC(C)(C)NC(=O)CC(=O)OCC,49
C#CC(C)(C)NC(=O)CCC(=O)OCC,50
C#CC(C)(C)NC(=O)COC,51
C#CC(C)(C)NC(=O)c1ccccc1,52
C#CC(C)(C)NC(=O)c1cccnc1,53
C#CC(C)(C)NCC(C)=O,54
C#CC(C)(C)Nc1ccccc1,55
C#CC(C)(C)O,56
C#CC(C)(C)OC,57
C#CC(C)(C)OC(=O)c1ccc(Cl)cc1,58
C#CC(C)(C)OC(C)=O,59
C#CC(C)(C)OC(OCC)OCC,60
C#CC(C)(C)OCCO,61
C#CC(C)(C)OCCOCCO,62
C#CC(C)(C)OCc1ccccc1,63
C#CC(C)(C)c1ccccc1,64
C#CC(C)(C)n1cccc1,65
C#CC(C)=O,66
C#CC(C)C,67
C#CC(O)(C(C)C)C(C)C,68
C#CC(O)(CC(C)C)CC(C)C,69
C#CC(O)(CC)CC,70
C#CC(OCC)(OCC)OCC,71
C#CC(OCC)OCC,72
C#CC1(C)CCCC1,73
C#CC1(C)CCCCC1,74
C#CC1(C)CCOCC1,75
C#CC1(Cl)CCCCC1,76
C#CC1(NC(C)=O)CCCC1,77
C#CC1(O)CCC(C(C)(C)C)CC1,78
C#CC1(O)CCC(F)(F)CC1,79
C#CC1(O)CCCC1,80
C#CC1(O)CCCCC1,81
C#CC1(O)CCCCCC1,82
C#CC1(O)CCOCC1,83
C#CC1(O)Cc2ccccc2C1,84
C#CC1(OC(=O)CC)CCCCC1,85
C#CC1(OC(=O)OC)CCCCC1,86
C#CC1(OC(C)=O)CCCCC1,87
C#CC1CCC(=O)CC1,88
C#CC1CCC(C(=O)OC)CC1,89
C#CC1CCC(C)CC1,90
C#CC1CCC(CO)CC1,91
C#CC1CCC(F)(F)CC1,92
C#CC1CCC(OC(F)(F)F)CC1,93
C#CC1CCCC1,94
C#CC1CCCCC1,95
C#CC1CCCCCC1,96
C#CC1CCOCC1,97
C#CC1Cc2ccccc2C1,98
C#CCC,99
C#CCC(=O)OC,100
C#CCC(=O)OC(C)(C)C,101
C#CCC(=O)OCC,102
C#CCC(C(=O)OC)C(=O)OC,103
C#CCC(C(=O)OCC)C(=O)OCC,104
C#CCC(C)(C(=O)OCC)C(=O)OCC,105
C#CCC(C)(C)C(=O)OCC,106
C#CCC(C)(C)C(N)=O,107
C#CCC(C)(C)O,108
C#CCC(C)C,109
C#CCC(OC)OC,110
C#CCC1(C(=O)OC)CCCCC1,111
